articleNo,articleName,articleStatus,realEstateTypeCode,realEstateTypeName,articleRealEstateTypeCode,articleRealEstateTypeName,tradeTypeCode,tradeTypeName,verificationTypeCode,floorInfo,rentPrc,priceChangeState,isPriceModification,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,representativeImgUrl,representativeImgTypeCode,representativeImgThumb,siteImageCount,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrDirectCnt,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpName,cpPcArticleUrl,cpPcArticleBridgeUrl,cpPcArticleLinkUseAtArticleTitleYn,cpPcArticleLinkUseAtCpNameYn,cpMobileArticleUrl,cpMobileArticleLinkUseAtArticleTitleYn,cpMobileArticleLinkUseAtCpNameYn,latitude,longitude,isLocationShow,realtorName,realtorId,tradeCheckedByOwner,isDirectTrade,isInterest,isComplex,detailAddress,detailAddressYn,search_day,premiumPrc,sellerName,sellerPhoneNum
2203341748,중소형사무실,R0,SMS,사무실,D01,사무실,B2,월세,SITE,11월 15일,140,SAME,False,"1,400",187,95,동향,20220204,/20220204_124/land_naver_1643978287909ig5SR_JPEG/aeeeb0d8ad4fd0051d6ca4e813a71a68.JPG,SITE,f130_98,13,공장등록 가능한 11층사무실  전용29ㅍ  베란다4.5ㅍ ,"['2년이내', '관리비20만원이하', '주차가능', '베란다']",중소형사무실,1,0.0,"1,400/140","1,400/140",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203341748,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,20220207,,,
2203318257,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,03월 15일,110,SAME,False,"1,200",98,86,,20220204,/20220204_116/land_naver_1643978403394GTmVA_JPEG/4e7673c211b06f4ea12279e09eea59f6.JPG,SITE,f130_98,13,공장  분양51ㅍ 전용26ㅍ 베란다2.5ㅍ,"['15년이내', '주차가능', '엘리베이터', '화재경보기']",지식산업센터,1,0.0,"1,200/110","1,200/110",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203318257,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,20220207,,,
2203383861,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,14/B1,180,SAME,False,"2,000",4810,126,,20220204,/20220204_162/land_naver_1643978162278XmVlb_JPEG/f89ffd78bc4b8a0cfccb349ec9150765.JPG,SITE,f130_98,15,갈산역인근신축지식산업센터 첫입주,"['2년이내', '융자금없는', '역세권']",공장,1,0.0,"2,000/180","2,000/180",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203383861,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203383861,False,True,37.517124,126.718434,True,나공단공인중개사사무소,,False,False,False,False,,N,20220207,,,
2203332682,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,15/B1,100,SAME,False,"1,000",15788,170,,20220204,/20220204_16/land_naver_1643978342427jiUdH_JPEG/d894ccba25f1489034cf0e07b62010f6.JPG,SITE,f130_98,13,공장내 차량진입 및 상하차가능  전용26 베란다2.5,"['2년이내', '엘리베이터', '화재경보기', '베란다']",공장,1,0.0,"1,000/100","1,000/100",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203332682,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,20220207,,,
2203484141,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,07월 12일,130,SAME,False,"1,500",136,97,,20220204,/20220204_184/land_naver_1643977207209mmk3a_JPEG/15b2c8859b251057f86c34d6c43ee2fe.JPG,SITE,f130_98,14,"천장형 냉난방기 설치됨, 전용 29ㅍ","['4년이내', '융자금없는', '역세권', '천장에어컨']",지식산업센터,1,0.0,"1,500/130","1,500/130",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203484141,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203484141,False,True,37.517708,126.720958,True,나공단공인중개사사무소,,False,False,False,False,,N,20220207,,,
2203035008,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,05월 14일,190,DECREASE,True,"2,000",149,126,,20220203,/20220203_134/land_naver_1643852765499ewqw3_JPEG/e3b33f4756e9051f264ee208d4718abf.JPG,SITE,f130_98,15,복층공사하여 인테리어 잘된 사무실겸 제조시설 사용적합  5층 전용 38ㅍ,"['2년이내', '융자금없는', '역세권', '천장에어컨']",지식산업센터,1,0.0,"2,000/190","2,000/190",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203035008,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203035008,False,True,37.517124,126.718434,True,나공단공인중개사사무소,,False,False,False,False,,N,20220207,,,
2202981411,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,3/-,450,SAME,False,"4,500",910,597,,20220128,/20220128_6/land_naver_1643361191177JzkTM_JPEG/9ef823f08fc9648e080272aaf6663018.JPG,SITE,f130_98,12,신축 층고 높아요,"['2년이내', '융자금없는']",공장,2,0.0,"4,500/450","4,200/420",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2202981411,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2202981411,False,True,37.523299,126.711866,True,공장24시공인중개사사무소,p1154919,False,False,False,False,,N,20220207,,,
2202876990,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,4/-,144,SAME,False,"1,440",495,264,,20220127,/20220127_6/land_naver_1643275327195pLuco_JPEG/ce2ff9b85b225d549958833f9312a173.JPG,SITE,f130_98,10,3층 80ㅍ,"['15년이내', '융자금없는']",공장,1,0.0,"1,440/144","1,440/144",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2202876990,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2202876990,False,True,37.522321,126.707519,True,공장24시공인중개사사무소,p1154919,False,False,False,False,,N,20220207,,,
2203700535,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,OWNER,10월 15일,130,SAME,False,"1,300",170,86,,20220204,,,,0,부평제이타워3차 냉난방기 설치 차량 공장 내부로 진출입 가능,"['2년이내', '융자금없는', '주차가능']",지식산업센터,1,0.0,"1,300/130","1,300/130",hkdotcom,한경부동산,https://realestate.hankyung.com/naver-listing?UID=2203700535,,False,True,,False,False,37.521784,126.721212,True,김규태공인중개사사무소,kkt2729nv,False,False,False,False,,N,20220207,,,
2202795669,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,15/B1,110,SAME,False,"1,200",15788,170,,20220127,/20220127_129/land_naver_1643275628296q1tDB_JPEG/f6c64c56c8ad4d93811ec7fb9055c470.JPG,SITE,f130_98,11,제이타워3차 5층 공장 임대  ,"['2년이내', '엘리베이터', '화재경보기']",공장,1,0.0,"1,200/110","1,200/110",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2202795669,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,20220207,,,
